"id","customer_id","order_id","code","to_name","to_email","from_name","from_email","amount","balance","status","template","message","purchase_date","expiry_date","currency_code"
1,"1","133","3C5-Y02-758-GSG","Test Order","hunter.leachman+0002@bigcommerce.com","test order","hunter.leachman@bigcommerce.com","123.0000","123.0000","active","Birthday.html","","1634671192","0","USD"
2,"5","0","FFZ-5N4-C7M-S78","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
3,"5","0","ABCDEFGHIJKLMNOPQRST","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
4,"5","0","UJzoUBocpPTp","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
5,"5","0","WXrkW1mE47rE","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
6,"5","0","px5U1nCkgUO4","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
7,"5","0","6kestNPKX5ar","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
8,"5","0","V6Aglqar5zXT","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
9,"5","0","Jm2ZjhH3zSbH","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
10,"5","0","hEl0kOTtHHx8","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
11,"5","0","RdesvbwXpoer","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
12,"5","0","Rj2ScEhRj0Rt","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
13,"5","0","NJwniKAnap5t","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
14,"5","0","TaVrJBC4rFA1","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
15,"5","0","fF35cfdtKVY0","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
16,"5","0","guWdqFp6gGdc","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
17,"5","0","fJj8RnpJxaBW","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
18,"5","0","CxZZrK5c932R","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
19,"5","0","IdGUvMTT7Ozw","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
20,"5","0","fJ2UC3Pc0KUt","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
21,"5","0","MC2QMQMpFnHy","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","disabled","Birthday","Congratulations!","1603306","1717277506","USD"
22,"5","0","auBUlnux2pDM","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
23,"5","0","qzf3NXVrqPEv","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
24,"5","0","PYnbqWBYncQH","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
25,"5","0","RaTfIj77XW2t","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
26,"5","0","fGBPfFS1O19B","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
27,"5","0","NlthsceIoS2y","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
28,"5","0","CEgfBYYDPp3J","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
29,"5","0","O5F7mX3pOP7n","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
30,"5","0","FQAVTZT2DJp4","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
31,"5","0","LNPOuWqBpNoc","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
32,"5","0","BWXoXhD3nuQi","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
33,"5","0","iSo165uwNIdG","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
34,"5","0","a25kRckPfEDf","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
35,"5","0","KdfzfHE7Kd3q","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
36,"5","0","DxRTAoVmUkdR","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
37,"5","0","2OLUC186GtBO","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
38,"5","0","if1SLLlQCkOo","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
39,"5","0","HAHog6A5kjgR","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
40,"5","0","cq9Nm6WmEJE6","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
41,"5","0","RUnSIdkoaFMR","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
42,"5","0","k8wTbeg9V4Dm","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
43,"5","0","y8v3Xa8Z1dKX","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
44,"5","0","faNjFmVbzbEi","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
45,"5","0","xNLi7aCFXxZf","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
46,"5","0","GlJbZDcfWh0c","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
47,"5","0","JDRtk6HodfHK","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
48,"5","0","DFsdhWD3pgPc","John Doe","johndoe@example.com","Jane Doe","janedoe@example.com","10.0000","10.0000","active","Birthday","Congratulations!","1603306","1717277506","USD"
